Journal Name,Publisher,Average Review Time,Scopus Quartile,Publication Cost
IEEE Journal of Biomedical and Health Informatics,IEEE,8 Weeks,Q1,Free / No APC
Health Education and Health Promotion,Tarbiat Modares University,Not specified,Q4,Free / No APC
Asia Pacific Journal of Health Management,Australasian College of Health Service Management,8 Weeks,Q4,Free / No APC
Journal of Associated Medical Sciences,"Faculty of Associated Medical Sciences, Chiang Mai University",Not specified,Q4,Free / No APC
Journal of Medical Systems,Springer Nature,8 Weeks,Q1,Free / No APC
Chinese Journal of Health Management,Chinese Medical Journals Publishing House Co.Ltd,Not specified,Q4,Free / No APC
Health Information Science and Systems,Springer Nature,8 Weeks,Q2,Free / No APC
International Journal of Bioinformatics Research and Applications,Inderscience Publishers,Not specified,Q4,Free / No APC
ACM Transactions on Computing for Healthcare,Association for Computing Machinery,8 Weeks,Q1,Free / No APC
Applied Medical Informatics,Romanian Society for Applied Medical Informatics,Not specified,Not specified,Free / No APC
Methods of Information in Medicine,Thieme,8 Weeks,Q1,Free / No APC
Telehealth and Medicine Today,Partners in Digital Health,Not specified,Q4,Free / No APC
Healthcare (Switzerland),Multidisciplinary Digital Publishing Institute (MDPI),8 Weeks,Q2,Free / No APC
Statistical Methods in Medical Research,SAGE,8 Weeks,Q1,Free / No APC
Studies in Health Technology and Informatics,IOS Press,Not specified,Q3,Free / No APC
Patient Experience Journal,The Beryl Institute,Not specified,Q3,Free / No APC
Telemedicine and e-Health,Mary Ann Liebert,8 Weeks,Q1,Free / No APC
Community and Physician,Turkish Medical Association,Not specified,Q3,Free / No APC
International Journal of Reliable and Quality E-Healthcare,IGI Global Publishing,Not specified,Q3,Free / No APC
International Journal of Statistics in Medical Research,Lifescience Global,Not specified,Q3,Free / No APC
